,comment
0,Nổ địa chỉ đi bố chồng...con không lấy được con trai bố thì con lấy bố cũng đc ạ..
1," ha ha , chết cười , con đến ngay đây bố ."
2, Beo La ah
3,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18t) chủ động nhắn tin mình trả công 150k bank ATM
4,Con dâu của bố đô la đây ạ..đang tập hát để xem bố có thích không
5, trúng tuyển r kìa
6, trúng thì em đi cho cháu nó 200k uống sữa 🤣🤣
7, ủa nó hát tiếng thái hã :))
8, Thảm hoạ âm nhạc :))
9,  :)))
10, bố chốt nhá-))
11, có tương lai vào sâubít 🤣🤣🤣
12,
13,cú sốc đầu đời
14,
15, tưởng bim hát nữa chứ
16, tui chớ ai bà. hát bằng cả đam mê
17, thấy con nào wen wen à
18, jz má :)) má ảo hã má
19, ụ má định tag con lchi mà nhầm ạ
20,  vô dắc Ny về tề
21,Hình ảnh chị em khi biết tin
22, kêu thanh niên áo xanh ra chỗ khác coi. Nó vào kill đồng đội kia
23, ông đấy là Bot nên ko sao
24,
25," sao mày đưa tin và hình ảnh này lên mày ngu thế hả cu,. Làm chó gì mày phải tự hạ thấp mấy đứa con gái VN thế hả, nó tưởng con nó ngon lắm sao,. Cũng chỉ là dân đen như chúng ta thôi chứ có phải là ông tướng gì đâu, nó tưởng nhà nó có hàng nghìn tỷ thì nó thích gì thì làm à, định đi mua dâu: NGU"
26,"Nay kèo căng qá ae :)) Nên theo SGB hay Gam nhễ, có tí vốn gập thệp DK DRX gỡ lại U19 hqa thuii😀😀😀"
27, cũng đông đấy nhưng khoan đã cái đéo gì đây ông
28,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18+) chủ động nhắn tin mình trả công 150k bank ATM
29, Ổng kiểu : thấy đông nên lại chứ biết j đâu😂
30, =)))
31,Mình ứng tuyển ạ
32, tuyển dâu chứ hông tuyển rễ 😂
33,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18+) chủ động nhắn tin mình trả công 150k bank ATM
34,
35," đâu sao !! Thời buổi 4.0 , rước về tối tối luận kiếm Hoa Sơn cũng đc mà !!"
36, Thị Nhục Kiếm Pháp
37, E top(công) hay bot (thụ)
38," tr ôg nội, ng ta dỡn mà dô tưởng thiệc à =)))"
39, vãi
40, tuyển về đấu kiếm hã
41,Khum biết cháu bé có bằng máy bay chưa nhỉ? 😅
42,
43,"Nay kèo căng qá ae :)) Nên theo SGB hay Gam nhễ, có tí vốn gập thệp DK DRX gỡ lại U19 hqa thuii😗😗"
44, cháu nó k có bằng máy bay mà cháu nó có bằng Lamborghini
45,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18+) chủ động nhắn tin mình trả công 150k bank ATM
46,"Chú thì hợp tuổi với cháu vì chú tuổi ngọ cơ mà chú yêu cô  rồi, nếu cháu cần thêm cha thì chú xin làm cha nuôi nhé <3"
47, chú ranh ma quá
48,Em ứng tuyển 🥰
49, thật là vãi lol
50, vãi ò;))
51, hết cơ hội rồi  
52, em lạy anh
53, hết cơ hội r :(
54, thôi làm mẹ của ô úc việt cũng đc
55," chuẩn bị đi, cưới đại gia xong t sẽ chuẩn bị cho bạn 1 đám giỗ thật to"
56, úc lỏ ứng tuyển
57, cười tươi thế :))
58, vãi ò
59, bỏ đi idol kèo này khó 🤣🤣🤣
60,Con có dk k :)))
61, ko
62, chẳng lẽ crush của chị....😶
63, con hơi lớn
64,"Chị sinh năm 94, kể ra cũng không cách nhau bao nhiêu tuổi, e có nhu cầu khum?"
65, có gần 2 giáp chứ nhiêu :))) dư sức 🐧
66, 16 năm bảo gần 2 giáp chịu
67, hơn 16 năm thì bt rồi nma phóng đại tí nghe cho nó to 🙃
68, Nghệ thuật phóng đại oách =))))))) Vui tai hơn là cách 16 tuổi
69, =))
70,Kb em nó chơi bê đê k ta. 🤔
71, đcmm không thấy tởm à
72, nhìn mày giống người không ? Hay giống ngợm ?
73, cái gì cũng hay
74, tát bỏ mẹ m bây giờ. Cbi mà về nhà bố chơi đi con zai
75, Chờ bố màiii
76, cho hỏi sao tởm
77," Bạn thân tôi, nó làm gì tôi cũng thấy tởm, có được khonggg ?"
78, bạn ko thích có thể lướt mà sao lại bình luận như thế
79, đúng bạn ạ
80,Em có chơi gay k?
81, a xin m 🤧🤧
82, tại nhà nó giàu quá anh ơi
83, vã quá hả bro
84,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18t) chủ động nhắn tin mình trả công 150k bank ATM
85, :)) tha
86,Bạn top hay bot
87, Em bot nè anh
88,May mà chị tuổi mão nha 🤭
89, chị để e nhớn đã chị ☺️☺️
90,Cô ứng tuyển nhá
91, cô tha cho e nó đi
92,"Nay kèo căng qá ae :)) Nên theo SGB hay Gam nhễ, có tí vốn gập thệp DK DRX gỡ lại U19 hqa thuii🥳🥳🥳"
93,Gâu gâu gâu mình tuổi tuất ạ
94, m tuổi ồn
95,"Hợp với chị gái cô
Chị gái cô sinh năm 1990 😂"
96, cách nhau gần 2 con giáp kìa :v
97,"Dạ Ngọ nè Chú ơi😅😅😅😅

Anh ơi ráng ráng 10 năm nữa nha a😂😂😂"
98, cừ gì ó Cô Na🤪🤪🤪🤪
99, đẩy thuyền cho Rốt nha 🥰
100, dạ gáng gáng 10 năm dc cô hặm😅😅😅😅
101,Kakaa nhiu cô cười con quá con ngại
102,"Cháu nó có chơi buê đuê ko nhỉ, tuổi ngọ rất hợp nha:)))"
103, tao biết ngay mà
104," thôi chết,lộ mất rồi 🤣"
105," may tao chưa bị m làm gì ;))
Eo sợ quá sợ quá"
106," đang định làm thì m chạy mất
Ko là....😏😏"
107, sang thái đi về là nó ko bf đâu
108, nhưng chưa có tiền để đi🤣
109, rồi thông lỗ đ.i.t nhau à 🤣
110, đặt lên thớt tao giúp mày loại bỏ 50% trc
111,"Canh ngọ 1990 xin ứng tuyển, tình nguyện cho bé lái máy bay ạ!"
112, H dư sức đẻ đc bé lun đó H
113, mấy người ko chịu cưới tui thì tui phải để dành sự trong trắng của mình cho gia đình tài phiệt để trở thành dòng dõi trâm anh thế phiệt thôi.
114," đang để dành tiền, ráng đợi đi"
115, đợi đó!!!
116,Chơi bear deer không bé
117, alo ad Trí 🤣🤣🤣
118,chị cũng tuổi ngọ á =))) nma là ngọ nguậy
119, rủ ẻm bắn pubg bắn thắng iu luôn
120, gánh team thì iu
121,😂 cháu có lái máy bay hạng nặng không ạ?
122," này là
máy bay cổ rồi 🥲"
