,comment
0,
1,"Công nhận, mấy bạn nữ ở nhà mặc đồ ngủ nhìn dễ thương nhưng kiểu nhìn teo tóp.
Ấy thế mà khi lên đồ thì khúc nào ra khúc đấy, không đùa được đâu 🤭🤭🤭"
2," đệm vào chả vậy , ngực như cái chén lót thêm vải vào ( đây là vd ) lại như cái bát úp vào ngay 😀"
3,"khi chưa diện đồ thì nhếch nhác, phèn ịa .. nhưng diện đồ rồi thì phèn ịa y chang …"
4,"Hôm nay All In T1, SGB kiếm tí vốn gập theo U19 Việt Nam chứ ae ơi :))☺️☺️"
5,diện áo đẹp chất lượng nè <3  ♥#1xxk <3
6,bạn nào chưa đăng ký tài khoản ngân hàng OCB (18t) chủ động nhắn tin mình trả công 150k bank ATM
7,
8, 
9,Đôi lúc t diện đồ t còn không nhận ra mình mà 🤣🤣🤣
10,
11,
12, 
13,"Giống nói mìn thế, 😂😂😂"
14,
15, 
16, nói mày đó chứ ko phải giống
17,"Bạn nào mất căn bản tiếng Anh hay đang tự ôn luyện IELTS thì follow thầy này nhé, thầy dạy có tâm và đặc biệt thường xuyên chia sẻ phương pháp tự học hiệu quả miễn phí vì cộng đồng nhé! ❤

"
18,"Rãnh đâu mà ngày nào cũng ăn diện, lên đồ lồng lộn
Nhưng 1 khi đã diện nhất định phải xinh 😊"
19,
20, 
21,"Bạn nào mất căn bản tiếng Anh hay đang tự ôn luyện IELTS thì follow thầy này nhé, thầy dạy có tâm và đặc biệt thường xuyên chia sẻ phương pháp tự học hiệu quả miễn phí vì cộng đồng nhé! ❤

"
22,Ăn diện thế này đã đủ gục ngã chưa các em
23,tôi trong mắt bạn bè:
24,"Hôm nay All In T1, SGB kiếm tí vốn gập theo U19 Việt Nam chứ ae ơi :))🤓🤓"
25, 
26,Tao tự kh nhận ra mình lun
27, 
28,"Bạn nào mất căn bản tiếng Anh hay đang tự ôn luyện IELTS thì follow thầy này nhé, thầy dạy có tâm và đặc biệt thường xuyên chia sẻ phương pháp tự học hiệu quả miễn phí vì cộng đồng nhé! ❤

"
29,U chu cha quá iem mua đôi này thui đi cũng đã sang cả con người rồi
30, .
31,Nhận làm sao được ạ 💤
32,Đang nói mình hôm đi rừng dừa Bảy Mẫu à 😂
33,"Mỗi lần t đăng ảnh cũng k ai nhận ra, ảo quá mà 😀"
34, má
35,Lên đồ cầm Pod bú phì phèo luôn :))
36, 
37,Ở quên thì trông hơi ngố nhưng mà lên phố thì hơi bị chơi đó
38,Mình mà lên đồ các bạn mình toàn kêu ố dề🤣
39, 
40,"Bạn nào mất căn bản tiếng Anh hay đang tự ôn luyện IELTS thì follow thầy này nhé, thầy dạy có tâm và đặc biệt thường xuyên chia sẻ phương pháp tự học hiệu quả miễn phí vì cộng đồng nhé! ❤

"
41,"Phải công nhận là lúc chưa diện nhìn nó phèn phèn, diện lên cái nhìn cũng zậy🥹🥹🥹"
42,"Hôm nay All In T1, SGB kiếm tí vốn gập theo U19 Việt Nam chứ ae ơi :))☺️🥹🥹"
43, 
44,Phải chăng là ta... ở nhà như bang chủ cái bang chứ diện đồ đi tiệc là khác liền à. Soang chảnh liền 🤣🤣🤣
45, 
46,Thì ở nhà nó phải thoái mái hơn đi chơi mà✨
47,Ra đường ng khác nhìn vô mắt chữ O mồn chữ Ô :)))
48, 
49,"Đó là gái trường t :))) lên giảng đường ăn mặc xoề xòa lắm, sau tối thì ối dồi ôi k nghĩ trường mình có gái xinh như này"
50, ghê =))))
51, 
52,Nó diện như phụ huynh nhìn sao ra
53,Ngày thường nhìn phèn thế thoii chứ lên đồ rồi thì vẫn phèn 😢
54,Phèn quá hoá quen 🐸🐸🐸
55, 
56,Ở nhà và ra ngoài p khác chứ ở nhà có thể bôi bác. Ra ngoài p lồg lộn 😂🤣
57,Cái tay hư
58,"Hôm nay All In T1, SGB kiếm tí vốn gập theo U19 Việt Nam chứ ae ơi :))🥹🥹"
59, 
60,"Bình thường trông phèn thế thôi, chứ lên đồ vẫn phèn:))"
61,Diện lên hiển nhiên phải khác 😝
62,tổn thương lắm chứ chả đùa=)))
63, chỉ có thể là 
64," ""ô em với đứa hôm qua là một à?""😃 nghĩ mà tủi thân=)))"
65, k p đâuuu🥲
66,Nhìn bần bần thế thôi chứ lên đồ thì đến mẹ cx k nhận ra con:))
67, mình c  b nhỉ
68, 😞 giản dị thôi
69,ố dề=)))
70, ma hoá quỷ 🙂
71, nói ai
72, giống nói c ghê
73, 😂😂😂😂
74, dợ tao dợ tao
75, hong biết mấy anh còn muốn kêu t là dợ nữa kh
76," lúc đó mấy anh chưa có bồ, giờ mấy anh có bồ ròi"
77, xinh đẹp tuỵt dờii
78, v sao 😏
79, đúng đúng
80, Alo Alo
81, coá e lên đồ chứ chị diện là thuoengf ngày nhoa
82, chắc kp t vs m đâu nhể 🥲
83, hắn
84, quần đùi áo thun bth 😀
85, quá đúng
86, hú hồn
87, bạn tôi chứ ai
88,sao giống ông thoại vậy
89, cũng nhận ra mày mà
90, chính em
91, là mình
92, m nha
93,Uk
94,. Dag noi m kia
95," ủa alo,t nào có đầm đuôi cá🤷‍♀️"
96, nghĩ ngay đến P
97, giờ vẫn vậy nha T =))))))
98, quá diệu kì
99, phép thuật winx biến hình haha
100, nhận ra khum
101, quá bt nhận ra tốt😐
102,xin phép tag ngay gu 
103, kk
104, trông lạ lắm nha kkk
105,Tuii
106,Em á 🤣🤭
107, sương sương thôi?
108, 1 chút 1 chút thôi:))))
109,Hi
110, haha ơi chời à hog nhận ra thiệt lun á
111, chúa hè rứ thôi
112, tau
